avg_salary_k,Location,job_state,Industry,Sector,Revenue,Size,Type of ownership,company_clean,Rating,age,num_comp,seniority,desc_len,python_yn,R_yn,spark,aws,excel,skill_sql,skill_tableau,skill_power_bi,skill_hadoop,skill_azure,skill_tensorflow,skill_pytorch,skill_machine_learning,skill_deep_learning
72.0,"Albuquerque, NM",NM,Aerospace & Defense,Aerospace & Defense,$50 to $100 million (USD),501 to 1000 employees,Company - Private,Tecolote Research,3.8,47,0,na,2536,1,0,0,0,1,0,1,1,0,0,0,0,1,0
87.5,"Linthicum, MD",MD,Health Care Services & Hospitals,Health Care,$2 to $5 billion (USD),10000+ employees,Other Organization,University of Maryland Medical System,3.4,36,0,na,4783,1,0,0,0,0,0,0,0,0,0,0,0,1,0
85.0,"Clearwater, FL",FL,Security Services,Business Services,$100 to $500 million (USD),501 to 1000 employees,Company - Private,KnowBe4,4.8,10,0,na,3461,1,0,1,0,1,1,0,0,0,0,0,0,1,0
76.5,"Richland, WA",WA,Energy,"Oil, Gas, Energy & Utilities",$500 million to $1 billion (USD),1001 to 5000 employees,Government,PNNL,3.8,55,3,na,3883,1,0,0,0,0,0,0,0,0,0,0,0,1,1
114.5,"New York, NY",NY,Advertising & Marketing,Business Services,Unknown / Non-Applicable,51 to 200 employees,Company - Private,Affinity Solutions,2.9,22,3,na,2728,1,0,0,0,1,1,0,0,0,0,0,0,1,0
95.0,"Dallas, TX",TX,Real Estate,Real Estate,$1 to $2 billion (USD),201 to 500 employees,Company - Public,CyrusOne,3.4,20,3,na,3747,1,0,0,1,1,1,0,1,0,1,0,0,1,0
73.5,"Baltimore, MD",MD,Banks & Credit Unions,Finance,Unknown / Non-Applicable,501 to 1000 employees,Company - Private,ClearOne Advantage,4.1,12,0,na,1786,0,0,0,0,1,0,0,0,0,0,0,0,0,0
114.0,"San Jose, CA",CA,Consulting,Business Services,$25 to $50 million (USD),201 to 500 employees,Company - Private,Logic20/20,3.8,15,0,na,3804,1,0,1,1,1,1,0,0,0,0,1,1,1,0
61.0,"Rochester, NY",NY,Health Care Services & Hospitals,Health Care,$500 million to $1 billion (USD),10000+ employees,Hospital,Rochester Regional Health,3.3,6,0,na,1538,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140.0,"New York, NY",NY,Internet,Information Technology,$100 to $500 million (USD),51 to 200 employees,Company - Private,<intent>,4.6,11,2,na,4574,1,0,1,0,0,0,0,0,0,0,0,0,1,0
163.5,"San Jose, CA",CA,Other Retail Stores,Retail,$1 to $2 billion (USD),501 to 1000 employees,Company - Private,Wish,3.5,9,0,na,2757,1,0,0,0,0,0,0,0,0,0,0,0,1,0
85.0,"Chantilly, VA",VA,Research & Development,Business Services,$1 to $2 billion (USD),5001 to 10000 employees,Company - Public,ManTech,4.1,52,0,na,3490,0,0,0,0,0,1,0,0,1,0,0,0,1,0
139.0,"Plano, TX",TX,"Department, Clothing, & Shoe Stores",Retail,$10+ billion (USD),10000+ employees,Company - Public,Walmart,3.2,58,3,na,3934,0,0,0,0,0,1,0,0,1,0,0,0,0,0
65.5,"Seattle, WA",WA,Advertising & Marketing,Business Services,Unknown / Non-Applicable,201 to 500 employees,Company - Private,Yesler,4.1,8,0,na,4897,1,0,1,1,1,1,1,1,0,1,0,0,0,0
